nation,region,county,UVB,RR
1,1,1,-2.9057,1.5423060404
1,2,2,-3.2075,1.0005503027
1,2,3,-2.8038,1.0963757258
1,2,4,-3.0069,0.7810655187
1,2,5,-3.0069,1.3134980371
1,2,6,-3.4175,0.5281298644
1,3,7,-2.6671,1.4307228916
1,3,8,-2.6671,0.2253676874
1,3,9,-3.1222,0.647452373
1,3,10,-2.4852,0.805657506
1,3,11,-2.5293,0.6096631611
2,4,12,-1.1375,1.4439096631
2,4,13,-1.3977,1.4926993432
2,4,14,-0.4386,1.3485586185
2,4,15,-1.0249,1.2011496718
2,5,16,-0.5033,1.9536453246
2,5,17,-1.4609,1.5164501879
2,5,18,-1.8956,1.5680779368
2,5,19,-2.5541,1.5611827521
2,5,20,-1.9671,1.934610176
2,5,21,-2.3444,1.6761286834
2,5,22,-0.6578,1.8107451749
2,6,23,-3.8836,2.5459121859
2,7,24,-4.4592,1.7837025911
2,8,25,-4.8576,2.4089669315
2,9,26,-2.6027,1.6019988242
2,9,27,-3.5346,1.3619524951
2,10,28,-4.0251,1.9160493827
2,10,29,-3.9857,1.5587745487
2,10,30,-4.4592,1.6534756057
2,10,31,-4.1117,1.299992353
2,11,32,-3.5346,1.3055972014
2,11,33,-3.2736,1.0465681629
2,11,34,-3.8126,1.3037809648
2,11,35,-3.6015,1.0450827057
2,11,36,-3.5991,1.3189039995
2,12,37,-2.9414,1.5631661219
2,12,38,-2.2504,1.7247326664
2,12,39,-2.3269,1.6318508596
2,13,40,-2.0662,1.2634618856
2,14,41,-5.1393,1.9835612363
3,15,42,-5.7887,2.6490234103
3,15,43,-5.8989,2.1915294837
3,15,44,-5.245,2.3255813953
3,16,45,-5.1866,2.3348652327
3,16,46,-5.217,2.5173819228
3,16,47,-5.0981,1.9486846379
3,17,48,-5.4778,1.9886958342
3,17,49,-5.217,1.2616704517
3,17,50,-5.5612,1.5547493892
3,17,51,-5.8439,1.5188633023
3,17,52,-6.0623,1.3828763829
3,17,53,-5.9509,2.1941397028
3,17,54,-6.114,1.6212929812
3,17,55,-6.1151,1.8645731109
4,18,56,-0.9368,0.7375620223
4,18,57,-0.0884,0.6177606178
4,19,58,2.7823,0.7945756966
4,19,59,3.2047,0.5493787284
4,19,60,3.7856,0.6207752793
4,19,61,3.5087,0.4751883782
4,19,62,5.3566,0.5219595854
4,20,63,1.9737,0.8867097851
4,20,64,2.5436,0.8144269924
4,20,65,3.0821,0.7693787267
4,20,66,2.1911,0.3382721061
4,21,67,-0.6221,0.4581352486
4,21,68,-0.4548,0.3989379386
4,21,69,-1.0124,0.4723984343
4,22,70,0.9771,0.5580836267
4,22,71,1.366,0.6304176517
4,22,72,1.6602,0.6537319493
4,22,73,0.2517,0.5851755527
4,23,74,0.1042,0.6060399456
4,23,75,-0.5807,1.0860979463
4,23,76,-0.375,0.4001028836
4,23,77,-0.06,0.8405715887
4,24,78,1.452,0.7379211531
4,24,79,-0.453,0.7472595692
4,24,80,1.0764,0.8687411151
4,24,81,0.3122,0.5826535708
4,24,82,0.1511,0.348189415
4,24,83,-0.1392,0.5164058155
4,25,84,-1.7997,0.6829328863
4,25,85,-0.1498,0.5503577325
4,25,86,-1.2866,0.5856944139
4,25,87,-0.7599,0.2730251183
4,27,89,0.556,0.3702332469
4,27,90,1.5737,1.0564811052
4,27,91,2.3619,0.7074011849
4,27,92,0.2315,0.4535833081
4,28,93,-1.6795,0.552921499
4,28,94,-2.1093,0.7040128734
4,29,95,-0.7146,0.6988564168
4,29,96,-0.6373,0.3844487901
4,29,97,-0.6373,0.7144643304
4,29,98,-0.4819,0.3364949841
4,29,99,-0.5598,0.4657023888
4,29,100,-0.7916,0.4369801757
4,29,101,-0.7146,0.6646026163
4,29,102,-0.9447,0.4158974489
4,30,103,4.9606,0.3696584356
4,30,104,6.4726,0.6408484834
4,30,105,6.8973,0.5584165788
4,30,106,3.8485,0.5137426149
4,30,107,7.4113,0.7333822255
4,31,108,2.3668,0.4106438896
4,31,109,1.7567,1.2113055182
4,31,110,2.0165,0.6215742781
4,32,111,-1.1375,0.3776638791
4,32,112,-1.2866,0.6708836496
4,32,113,-1.4346,0.5322080934
4,32,114,-0.836,0.4971661529
4,33,115,4.9606,0.705616709
4,33,116,4.1319,0.4992155185
4,33,117,4.6719,0.33437074
4,33,118,4.0649,0.7739082366
4,33,119,3.2342,0.6562541016
4,33,120,5.4555,0.7816571131
4,33,121,4.2907,0.1749067164
4,33,122,3.693,0.754391637
4,34,123,-2.6671,0.4945870198
4,34,124,-2.5983,0.4914701839
4,35,125,0.546,0.5364127718
4,35,126,0.8774,0.5324146571
4,35,127,-0.375,0.4580152672
4,35,128,0.2517,0.4806151874
4,35,129,1.3832,0.6179378531
4,36,130,-1.7997,0.3267262034
4,36,131,-1.9671,0.2538232121
4,36,132,-2.0155,0.3650567663
4,37,133,2.1037,0.7013893354
4,37,134,2.1911,0.7581501137
4,37,135,1.3294,0.5213160334
4,37,136,1.4143,0.2197560708
4,38,137,5.949,0.5162622612
4,38,138,5.5376,0.1991635132
4,38,139,6.7371,0.5520564101
4,38,140,6.5751,0.5315678836
4,38,141,7.6517,0.5324646851
4,38,142,5.5807,0.548081714
4,39,143,2.0421,0.6132147785
4,39,144,4.9771,0.7692307692
4,39,145,5.077,0.7672914611
4,39,146,3.0487,0.4959769506
4,39,147,2.3947,0.5801075836
4,39,148,2.2178,0.6878818604
4,39,149,2.9576,0.3166360585
4,39,150,2.4166,0.772134523
5,40,151,-4.1278,0.8978675645
5,40,152,-4.1117,1.0476892631
5,40,153,-3.5871,1.2182917809
5,41,154,-5.349,0.9074941452
5,41,155,-4.5569,1.0050566915
5,41,156,-4.5581,0.784659899
5,41,157,-4.1686,1.4168678113
5,41,158,-4.5581,0.9418729817
5,42,159,-5.8745,0.7067476159
5,42,160,-5.7101,0.4159349293
5,42,161,-5.7463,1.0116906475
5,42,162,-5.7101,0.9888645256
5,42,163,-6.0027,0.9933176811
5,43,164,-4.8949,0.6477393895
5,43,165,-4.8358,0.8969692788
5,43,166,-4.7168,0.9725678652
5,43,167,-4.845,0.8441320065
5,44,168,-3.4478,1.209152473
5,44,169,-3.9394,1.3970816517
5,44,170,-3.5556,0.9232935419
5,44,171,-3.7487,0.9826078412
5,44,172,-2.494,1.560332871
5,44,173,-3.3243,1.3605217049
5,44,174,-2.9639,1.1423770934
5,44,175,-3.7487,1.2503125781
5,44,176,-2.1284,2.3906287354
5,44,177,-2.8121,1.2642919965
5,44,178,-3.7487,1.3412265285
5,44,179,-3.0985,1.4035645242
5,44,180,-2.2713,1.6937448699
5,45,181,-3.3399,0.9548915041
5,45,182,-2.3696,1.8058690745
5,45,183,-2.5787,1.3170800056
5,45,184,-2.4239,1.257685858
5,45,185,-3.7487,1.1715837682
5,45,186,-2.9639,1.3433122241
5,45,187,-3.2739,1.0456084445
5,46,188,-4.5987,0.9300095877
5,46,189,-3.9394,1.1603919546
5,46,190,-4.5569,1.079525009
5,46,191,-4.7772,0.6794561215
5,46,192,-4.4179,0.6685236769
5,47,193,-5.2817,0.945333572
5,47,194,-5.3949,0.8063700675
5,47,195,-5.2609,1.190438896
5,47,196,-5.4875,1.2303589076
5,48,197,-4.5581,0.9059233449
5,48,198,-3.6662,1.3965333114
5,48,199,-3.4712,0.9018759019
5,48,200,-4.1992,1.2960999175
5,48,201,-3.513,0.9329732384
5,48,202,-4.4784,0.9718172983
5,48,203,-3.3399,0.7590394701
5,48,204,-3.5779,1.0964912281
5,49,205,-7.5623,1.1100319134
5,49,206,-7.1104,1.3277912481
5,49,207,-6.7138,1.2649800266
5,49,208,-6.5611,1.0084555116
5,49,209,-6.3218,1.004124081
5,49,210,-6.456,0.2684563758
5,49,211,-6.8106,0.6739193222
5,49,212,-6.4214,0.8083986061
5,49,213,-6.0713,0.5529953917
5,49,214,-8.1163,2.8985507246
5,49,215,-8.9002,0
5,49,216,-7.7158,0
5,50,217,-5.8011,0.7500117189
5,50,218,-5.8943,0.8555051758
5,50,219,-5.451,0.4649000465
5,50,220,-5.6191,0.5144032922
6,51,221,6.1548,0.947567909
6,51,222,5.8535,0.6988120196
6,51,223,6.0541,0.9992228267
6,51,224,6.2558,0.690428929
6,52,225,9.1951,0.4504504505
6,52,226,9.1951,0.7656967841
6,53,227,10.38,0.4340466166
6,53,228,10.832,0.3805818674
6,53,229,11.54,0.2643977812
6,54,230,8.0301,0.4344048653
6,54,231,8.0301,0.4281280103
6,54,232,8.2438,0.3405732617
6,54,233,8.2438,0.2853067047
6,54,234,8.4584,0.4069239678
6,55,235,2.1828,1.2180267966
6,55,236,3.5676,1.4259684703
6,55,237,3.7546,0.699844479
6,55,238,3.1433,1.0352530921
6,55,239,3.3254,1.0560741296
6,55,240,3.0526,0.8216926869
6,55,241,3.4169,1.4024016128
6,55,242,3.6007,1.0666154691
6,56,243,1.9864,1.3235471062
6,56,244,2.0737,1.9736842105
6,56,245,2.6858,1.8799071105
6,56,246,2.0737,0.9465215334
6,57,247,5.3026,0.9438414346
6,57,248,5.3026,0.8643042351
6,57,249,7.5343,0.9487418291
6,57,250,7.961,0.8928571429
6,57,251,7.8539,0.6224496853
6,58,252,6.7371,0.5563282337
6,58,253,4.4435,1.0434056761
6,58,254,4.3472,1.0764584517
6,58,255,4.7941,1.6922676386
6,59,256,1.5821,0.9449854144
6,59,257,1.4973,1.011211811
6,59,258,1.2448,0.7172314865
6,59,259,1.8379,1.0117057517
6,59,260,1.6671,0.539027379
6,59,261,1.7524,0.3779420426
6,59,262,2.0962,0.9725261366
6,59,263,3.3818,0.8572244976
6,59,264,3.2893,1.0847797063
6,60,265,3.8784,0.7654769878
6,60,266,4.3196,0.9713090257
6,60,267,4.6044,0.871459695
6,60,268,5.6539,0.5434782609
6,61,269,8.1386,0.8031053407
6,61,270,8.0307,0.6673340007
6,62,271,2.7823,1.166892089
6,62,272,2.6035,1.1141174598
6,62,273,1.8379,1.3187641296
6,62,274,3.4169,0.738678334
6,62,275,3.0526,1.1482704177
6,62,276,2.9622,1.6582647917
6,63,277,8.5727,0.6895600607
6,63,278,8.7536,0.4838035757
6,63,279,9.4174,0.6754893076
6,63,280,9.3061,0.6512006512
6,63,281,9.5289,0.3836987709
6,64,282,9.5634,0.8094186902
6,64,283,10.203,0.2264749179
6,64,284,10.38,0.6548788474
6,64,285,9.7085,0.1992031873
6,65,286,13.104,0.4469939656
6,65,287,12.983,0.5363670252
6,65,288,11.312,0.5196768555
6,65,289,12.769,0.5824488739
6,65,290,12.652,0.5311802826
6,65,291,12.535,0.3052969012
6,65,292,12.652,0.3493283369
6,65,293,13.359,0.4697040864
6,65,294,13.122,0.9584664537
6,66,295,4.7941,0.7757951901
6,66,296,4.9901,0.6634049258
6,66,297,5.4666,0.9667673716
6,66,298,5.5673,1.1809258996
6,66,299,5.2862,0.5507618873
6,66,300,5.0885,1.1513157895
6,66,301,5.8711,0.9032517061
6,66,302,6.0751,0.6087168249
6,66,303,6.6938,1.5363128492
6,67,304,1.2744,0.9542685165
6,67,305,1.614,1.0774314035
6,68,306,4.6307,0.4940467368
6,68,307,5.1093,1.6551724138
6,69,308,2.2492,1.6282225237
6,70,309,1.8379,0.7894299485
6,70,310,2.4836,0.8431703204
6,70,311,1.8994,1.4283673761
6,70,312,2.3947,0.9913035642
6,70,313,2.5727,1.095873846
6,70,314,2.6622,1.3843841468
6,70,315,2.7823,0.9976306273
7,71,316,-5.322,0.1784439686
7,71,317,-5.9527,0
7,71,318,-5.6017,0.7917656374
7,71,319,-5.4906,0
7,71,320,-5.9527,1.108033241
7,72,321,-4.6169,0
7,72,322,-4.7764,0.6853562221
7,72,323,-4.7168,1.2236157846
7,72,324,-4.5569,0.4330879168
7,72,325,-4.9944,0
7,72,326,-5.2993,1.9230769231
7,72,327,-5.6963,0.7158196135
7,72,328,-5.2423,0.6613756614
7,72,329,-5.1101,0
7,72,330,-5.185,0.5040322581
7,72,331,-3.8836,0.6309148265
7,72,332,-4.5968,0.3679175865
7,73,333,-4.7772,0.3514938489
7,73,334,-4.1911,0.5425515424
7,73,335,-4.4179,0.744047619
7,73,336,-4.5987,0.9720062208
7,73,337,-4.5569,0.2241649854
7,73,338,-4.314,1.0552233556
7,74,339,-5.751,0.5449591281
7,74,340,-5.9293,0.7381889764
7,74,341,-5.8596,0.5889281508
8,75,342,-2.3466,0.8499787505
8,75,343,-2.3678,0.583600817
8,75,344,-2.2769,1.1478351225
9,76,345,-4.972,0.7918552036
9,76,346,-4.8547,1.4057853474
9,76,347,-4.7363,0.8174791914
9,77,348,-4.1278,1.0436522919
9,77,349,-3.8761,1.151902497
9,78,350,-3.9394,1.1424083396
9,78,351,-4.2127,1.4285142117
9,78,352,-4.1911,1.5362572063
9,78,353,-3.8761,1.3623978202
9,79,354,-3.6846,0.9730895136
9,79,355,-3.6436,0.8993066636
